内容,时间,分词,情感分值,情感类型
校内有没有美食公众号呀,2023-02-24 11:55,校内 有没有 美食 公众,0.6881,pos
主校区的UU们有在寝室用过小功率的电煮锅的吗？我看郑带的限电是只限电热功率,2023-02-21 21:50,校区 寝室 用过 功率 郑带 限电 电热 功率,0.9538,pos
北区我知道能用，主区不知道行不行,2023-02-24 11:28,北区 主区 行不行,0.0826,neg
有不用的电动车吗，有的联系我，咨询一下咱学校外来车可以开进去吗，学校有停车场吗，或者附近有停车的地方吗,2023-02-24 11:35,不用 电动车 咨询 学校 外来 开进去 学校 停车场 停车 地方,0.8103,pos
美女镇楼,2023-02-23 15:46,美女 镇楼,0.8866,pos
进进我的,2023-02-24 11:29,进进,0.6947,pos
上岸老学姐出售987环境工程学2003年-2022年考研初试、复试真题及答案，有意者请联系,2022-04-21 13:53,上岸 学姐 出售 环境 工程学 考研 初试 复试 真题 答案 有意者,0.988,pos
复试真题,2023-02-24 11:07,复试 真题,0.5111,pos
求一位应化考研上岸的学长、学姐，求一些资料。求求了，救救孩子吧！！！有偿！！！,2023-02-24 09:24,一位 应化 考研 上岸 学长 学姐 资料 求求 救救 孩子 有偿,0.9702,pos
8u们，现在校车还开吗？还是按官网上的时刻表，学生在东门上车？,2023-02-13 22:38,校车 还开 按官 网上 时刻表 学生 东门 上车,0.1995,neg
淡季贴吧？,2023-02-19 22:05,淡季,0.8796,pos
23考研能进复试，求推荐能源动力专业导师。,2023-02-22 20:21,考研 能进 复试 推荐 能源动力 专业 导师,0.9969,pos
兄弟啥专业的，专硕学硕,2023-02-24 03:07,兄弟 专业 专硕学硕,0.9114,pos
专硕,2023-02-24 10:15,专硕,0.6105,pos
能源动力专业,2023-02-24 10:16,能源动力 专业,0.9831,pos
有无导师推荐啊？,2023-02-24 10:17,有无 导师 推荐,0.9725,pos
你们导师发劳务费吗？有什么标准文件吗？,2023-02-23 12:32,导师 劳务费 标准文件,0.8276,pos
分老师的，大部分都只有低保,2023-02-23 12:37,老师 大部分 低保,0.7865,pos
俺只有低保，因为不干活,2023-02-24 10:09,低保 干活,0.5231,pos
想找一个温柔一点，压力小的导师,2023-02-24 10:06,温柔 一点 压力 导师,0.9794,pos
外校的可以进学校吗,2023-02-23 19:22,外校 学校,0.8945,pos
我也等一个回复,2023-02-23 21:00,回复,0.1694,neg
要么趁保安不看码时偷偷进，要么去校内找个码进去,2023-02-23 21:11,保安 看码 偷偷 校内 找个,0.3142,neg
真的很想进去看看，什么时候郑大把工带合并了😭😭 😭,2023-02-19 17:52,真的 很想 郑大 工带 合并,0.8821,pos
淦，昨天晚上跑工大不让鼠鼠进,2023-02-19 21:42,昨天晚上 工大 不让 鼠鼠进,0.136,neg
速来,2023-02-19 23:49,速来,0.5423,pos
要个扫码的截图给保安看一下不就能进来了,2023-02-19 23:57,要个 扫码 截图 保安,0.0843,neg
得扫码,2023-02-19 23:57,扫码,0.605,pos
贵校有没有中医专业啊？,2023-02-20 20:31,贵校 有没有 中医 专业,0.9519,pos
工大能进不？有没有洞之类的,2023-02-21 15:22,工大 能进 有没有,0.5136,pos
速速来击剑,2023-02-23 21:46,速速 击剑,0.8315,pos
别急 我们为什么要说“别急”？别急是一种态度，一种张弛有度，一种不急不躁，一种泰然自若。遇到羞辱急于还击，是莽夫，“别急”教我们谦让三分、以理服人；遇到挫折羞愤不已，是愚夫，“别急”教我们另辟蹊径、以智取胜。,2023-02-24 09:08,别急 要说 别急 别急 一种 态度 一种 张弛 有度 一种 不急 不躁 一种 泰然自若 羞辱 急于 还击 莽夫 别急 谦让 三分 以理服人 挫折 羞愤 愚夫 别急 另辟蹊径 以智取胜,0.0212,neg
今天是2月11日，转发此消息到朋友圈，家里的孩子在高考时一定考上郑州大学,2023-02-11 09:24,转发 消息 朋友圈 家里 孩子 高考 考上 郑州大学,0.6596,pos
好日子，然而我还在划水,2023-02-11 09:52,好日子 划水,0.7693,pos
已转，希望考上郑带,2023-02-11 10:07,已转 希望 考上 郑带,0.4389,pos
那我不转了，不能拉人下水😓,2023-02-11 10:07,下水,0.563,pos
害人贴 举报了,2023-02-11 10:18,害人 举报,0.0061,neg
多狠毒的诅咒,2023-02-11 10:31,狠毒 诅咒,0.0419,neg
已转，希望考上郑带,2023-02-11 11:40,已转 希望 考上 郑带,0.4389,pos
什么带恶人,2023-02-11 11:56,恶人,0.376,pos
误人子弟,2023-02-11 12:29,误人子弟,0.0984,neg
太恶毒了,2023-02-14 17:48,恶毒,0.0715,neg
打咩哟 我要上河带,2023-02-21 11:08,我要 河带,0.4859,pos
已转，希望考上郑专,2023-02-24 08:55,已转 希望 考上 郑专,0.4389,pos
蹲一手郑大新传学硕考研上岸的学长学姐，想咨询一下复习规划,2023-02-23 22:37,一手 郑大 新传 学硕 考研 上岸 学长 学姐 咨询 复习 规划,0.9844,pos
网上鼠鼠也没有找到相关流程,2023-02-23 22:33,网上 鼠鼠 找到 相关 流程,0.7852,pos
找辅导员要,2023-02-24 08:14,辅导员,0.3053,neg
无语了，京东也不行啊,2022-05-08 18:34,无语 京东 不行,0.0052,neg
快递不是不让进了吗，jd自营打电话进不来,2022-05-08 18:37,快递 不让 自营 打电话 进不来,0.1991,neg
这么便宜怎么做到的,2022-05-08 20:06,便宜,0.7984,pos
都私信怎么买的，自己看图吧,2022-05-08 23:00,私信 看图,0.9589,pos
滴滴,2022-05-09 22:51,滴滴,0.2777,neg
没错,2022-05-11 21:05,没错,0.8363,pos
厉害,2022-05-11 23:37,厉害,0.4954,pos
不简单,2022-05-12 00:17,简单,0.498,pos
需要跑腿滴我,2022-05-12 00:37,跑腿,0.3748,pos
厉害,2022-05-12 10:52,厉害,0.4954,pos
厉害,2022-05-12 11:19,厉害,0.4954,pos
厉害,2022-05-12 15:12,厉害,0.4954,pos
滴滴,2022-05-12 15:12,滴滴,0.2777,neg
架子,2022-05-12 16:29,架子,0.7766,pos
厉害,2022-05-12 17:23,厉害,0.4954,pos
嘻哈,2022-05-12 17:40,嘻哈,0.6695,pos
唐诗,2022-05-13 10:11,唐诗,0.6149,pos
厉害,2022-05-13 12:57,厉害,0.4954,pos
厉害,2022-05-13 15:21,厉害,0.4954,pos
就是厉害,2022-05-13 23:19,厉害,0.4954,pos
厉害的很,2022-05-14 16:31,厉害,0.4954,pos
没错,2022-05-14 19:35,没错,0.8363,pos
刺激,2022-05-15 16:27,刺激,0.9167,pos
厉害,2022-05-15 22:38,厉害,0.4954,pos
刺激,2022-05-16 13:14,刺激,0.9167,pos
刺激,2022-05-16 16:45,刺激,0.9167,pos
刺激,2022-05-16 23:40,刺激,0.9167,pos
厉害,2022-05-18 17:53,厉害,0.4954,pos
刺激,2022-05-18 20:13,刺激,0.9167,pos
弟弟,2022-05-19 00:29,弟弟,0.7423,pos
我快递十几天了都,2022-05-19 00:30,快递 十几天,0.3481,neg
你好，我也是今年七月份入职的应届生，请问你确认签约了吗？,2022-05-17 10:48,你好 七月份 入职 应届生 请问 确认 签约,0.5282,pos
你这是台州联化 还是上海,2022-07-29 15:36,台州 联化 上海,0.8525,pos
进去上班了吗？公司怎么样,2022-10-14 15:48,上班 公司,0.5504,pos
请问现在还在里面上班吗,2022-10-23 11:22,请问 上班,0.2571,neg
跑美团吧！在郑州就行,2022-10-25 04:20,美团 郑州 就行,0.7643,pos
您好，我明年应届生，收到联化上海的offer，能否细聊一下？我有一些问题想咨询咨询,2022-10-27 19:04,您好 明年 应届生 收到 联化 上海 细聊 咨询 咨询,0.9869,pos
去上班了吗？,2022-10-28 12:29,上班,0.5235,pos
请问您去了吗？想咨询下相关问题,2022-11-10 16:26,请问 咨询 相关,0.5562,pos
您好，请问进去上班了吗？公司怎么样？,2022-11-29 22:57,您好 请问 上班 公司,0.2634,neg
上海联化待过，不建议,2022-12-29 21:36,上海 联化 建议,0.7188,pos
想问问答辩过的学长学姐，本科毕业答辩是一个班一起么，会不会和班级同学撞题啊,2023-02-24 07:50,问问 答辩 学长 学姐 本科毕业 答辩 一个班 班级 同学 撞题,0.9648,pos
