内容,时间
目前初试前百分之五十，想联系导师，有没有比较靠谱的导师推荐，跪谢,2023-02-23 14:44
蹲郑大心理学上岸的学长学姐，了解下复试情况,2023-02-23 11:36
"复试的话,你可以去浩学考研看看,他们有一对一辅导,都是直系研究生上课,平时也有班主任督学,辅导过程中,如果对研究生不满意,也可以免费申请更换,有保障,浩学考研挺靠谱的.",2023-02-23 12:54
朋友在得物数字藏品部门，然后现在得物想联合国内的高校举办一些设计艺术大赛，有没有同学知道学校艺术学院的学生社团干部的联系方式，或者校方领导、学生会领导的联系方式，方便对接。万分感谢！,2023-02-23 13:08
rt,2021-12-24 13:07
啊,2021-12-24 18:11
吧友读了吗,2023-02-23 13:03
续航不小于20km，七八成新以上。有的加V：byylc0516,2023-02-23 12:59
已经工作，从事交通运输，国企，想读博，有热心博士在吗？,2023-02-23 12:55
,2023-02-23 12:41
,2023-02-22 23:54
找研究生学院官网，师资那一栏,2023-02-23 00:29
去学院官网就有导师联系方式，再去别的网站看看评价,2023-02-23 12:38
,2023-02-22 20:35
1,2023-02-23 12:25
有没有懂行的老哥,2023-02-23 09:12
这个很不错啊,2023-02-23 11:46
求主校区南核打印店联系方式！,2023-02-23 11:23
请问mem全日制也没有学业奖学金吗 我是21考研郑大工业工程与管理,2021-03-21 13:14
哈喽你好可以辅导复试吗,2023-02-23 11:03
,2023-02-23 09:18
这老师挺好的,2023-02-23 11:02
哪位大哥上岸了把资料卖给我吧,2021-09-23 00:31
上岸了吗可以辅导复试不,2023-02-23 11:02
有去升龙又一城租房子的吗？我这有一个订金收据500元，由于我不想去住了订金不能退，有同学去租房子的话，给我400就可以了，我把500收据给你，一起去帮你办理，绝对信誉，有意者联系，郑大刘同学13526593210  。,2016-12-30 08:06
是隔断间吗,2016-12-30 18:27
老哥，发下链接吧。感谢了,2023-02-23 10:54
有偿求一份安全科学与工程复试资料,2023-02-21 23:14
楼主多少分呀,2023-02-22 10:37
同专业进入复试，可以加一下吗,2023-02-23 10:28
有没有学长学姐在那里找到工作的，想知道那公司怎么样？,2013-12-16 00:11
楼主进这个公司了吗,2020-03-08 18:56
楼主进去了吗笔试考什么内容啊,2023-02-23 10:29
有偿,2023-02-23 09:55
有的,2023-02-23 10:11
有没有哪位学长知道郑大有机考研复试的笔试考什么啊，孩子快疯了,2023-02-23 01:06
我有个朋友想认识几个正经的郑大高材生！,2023-02-22 09:50
,2023-02-22 09:52
,2023-02-22 10:52
你好，我是,2023-02-22 10:52
我我我,2023-02-22 10:59
找我，我是,2023-02-22 11:28
恭喜恭喜,2023-02-22 11:30
,2023-02-22 12:32
,2023-02-22 12:57
只是郑专生,2023-02-22 13:24
,2023-02-22 13:25
我我我,2023-02-22 13:26
你好，我可以吗,2023-02-22 14:02
你好 不是高材生 也不正经,2023-02-22 14:07
,2023-02-22 14:08
who 邒 you？,2023-02-22 14:31
我是捏,2023-02-22 15:21
诡计多端的0可以吗,2023-02-22 19:09
,2023-02-22 20:48
我,2023-02-22 22:16
你自己心里没答案吗,2023-02-23 00:20
,2023-02-23 09:34
学信网也不标注，是否是对我们主区的不尊重。,2023-02-14 08:13
你说得对,2023-02-14 08:53
,2023-02-14 08:56
挂我是吧,2023-02-14 09:03
你说的对，但郑州大学是，后边忘了,2023-02-14 09:11
,2023-02-14 09:12
不是新校区的有难了,2023-02-14 09:23
,2023-02-14 09:28
大家拿的难道不是西亚斯的毕业证吗？,2023-02-14 10:54
挂我北校区是吧，今晚别睡太死,2023-02-14 10:57
,2023-02-14 11:02
别忘了南校区才是根,2023-02-14 12:36
,2023-02-14 13:41
,2023-02-15 06:42
北区才是core area,2023-02-15 10:51
你说得对，但是,2023-02-16 15:03
,2023-02-22 12:26
给主校区✌️磕一个,2023-02-22 20:21
错误的，东校区临床口腔分高，拿一样的毕业证是对东校区的不尊重,2023-02-23 09:31
现在能租校园卡进图书馆吗？,2023-02-22 22:38
这个随缘是骗子,2023-02-23 08:47
,2023-02-21 19:41
校友可以进,2023-02-21 21:36
可以,2023-02-21 22:02
怎么进啊，前几天不让进，要扫码,2023-02-23 00:38
校友用校园卡还能走东门吗？,2023-02-23 07:58
可以,2023-02-23 09:18
,2023-02-23 09:08
有没有缺流量的，私我，,2023-02-23 08:58
寻找一个马克思主义学院的博士生询问一些问题，认识的请私聊，重谢！,2023-02-22 22:40
能帮忙找到的100r以上，博士本人不低于2k。,2023-02-23 08:56
考研的同学们很多时间都用在找资料上面。有几百的也有几十块的，也有十几块的，我感觉其实内容都差不多，最实惠的就是关注公众号（金榜资料），里面资料和网盘里都是一样的还免费何乐而不为呢,2023-02-23 08:52
